T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
7,7,2000,1000,-12.0,0.3,4,10,37.8
7,7,2000,1000,-12.0,0.3,5,1,19.2
7,7,2000,1000,-12.0,0.3,5,2,16.0
7,7,2000,1000,-12.0,0.3,5,3,13.9
7,7,2000,1000,-12.0,0.3,5,4,10.2
7,7,2000,1000,-12.0,0.3,5,5,6.7
7,7,2000,1000,-12.0,0.3,5,6,3.0
7,7,2000,1000,-12.0,0.3,5,7,1.8
7,7,2000,1000,-12.0,0.3,5,8,1.5
7,7,2000,1000,-12.0,0.3,5,9,0.8
7,7,2000,1000,-12.0,0.3,5,10,26.9
7,7,2000,1000,-12.0,0.3,6,1,21.2
7,7,2000,1000,-12.0,0.3,6,2,14.4
7,7,2000,1000,-12.0,0.3,6,3,13.7
7,7,2000,1000,-12.0,0.3,6,4,8.6
7,7,2000,1000,-12.0,0.3,6,5,4.3
7,7,2000,1000,-12.0,0.3,6,6,3.1
7,7,2000,1000,-12.0,0.3,6,7,2.3
7,7,2000,1000,-12.0,0.3,6,8,1.7
7,7,2000,1000,-12.0,0.3,6,9,0.4
7,7,2000,1000,-12.0,0.3,6,10,30.3
7,8,2000,1000,-12.0,0.3,0,2,4.8
7,8,2000,1000,-12.0,0.3,0,3,54.4
7,8,2000,1000,-12.0,0.3,0,4,15.3
7,8,2000,1000,-12.0,0.3,0,5,8.4
7,8,2000,1000,-12.0,0.3,0,6,8.5
7,8,2000,1000,-12.0,0.3,0,7,4.4
7,8,2000,1000,-12.0,0.3,0,8,1.7
7,8,2000,1000,-12.0,0.3,0,10,2.5
7,8,2000,1000,-12.0,0.3,1,2,4.1
7,8,2000,1000,-12.0,0.3,1,3,15.5
7,8,2000,1000,-12.0,0.3,1,4,18.5
7,8,2000,1000,-12.0,0.3,1,5,15.1
7,8,2000,1000,-12.0,0.3,1,6,8.5
7,8,2000,1000,-12.0,0.3,1,7,3.4
7,8,2000,1000,-12.0,0.3,1,8,2.7
7,8,2000,1000,-12.0,0.3,1,9,1.3
7,8,2000,1000,-12.0,0.3,1,10,30.9
7,8,2000,1000,-12.0,0.3,2,2,8.8
7,8,2000,1000,-12.0,0.3,2,3,24.8
7,8,2000,1000,-12.0,0.3,2,4,16.3
7,8,2000,1000,-12.0,0.3,2,5,9.5
7,8,2000,1000,-12.0,0.3,2,6,6.3
7,8,2000,1000,-12.0,0.3,2,7,5.2
7,8,2000,1000,-12.0,0.3,2,8,3.3
7,8,2000,1000,-12.0,0.3,2,9,1.2
7,8,2000,1000,-12.0,0.3,2,10,24.6
7,8,2000,1000,-12.0,0.3,3,1,7.9
7,8,2000,1000,-12.0,0.3,3,2,14.9
7,8,2000,1000,-12.0,0.3,3,3,14.4
7,8,2000,1000,-12.0,0.3,3,4,8.7
